timestamp,event_type,risk_score,details
2026-08-29T03:19:03,DISTRACTION,45,"{""ear"": 0.233, ""mar"": 0.007, ""head_direction"": ""LOOKING UP"", ""pitch"": 175.6, ""yaw"": 9.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:19:03,NO_SEATBELT,45,"{""ear"": 0.233, ""mar"": 0.007, ""head_direction"": ""LOOKING UP"", ""pitch"": 175.6, ""yaw"": 9.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:20:38,DISTRACTION,45,"{""ear"": 0.41, ""mar"": 0.007, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": -178.5, ""yaw"": 15.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:20:43,DISTRACTION,25,"{""ear"": 0.562, ""mar"": 0.016, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.7, ""yaw"": 6.9, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:20:48,DISTRACTION,25,"{""ear"": 0.582, ""mar"": 0.01, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -175.5, ""yaw"": 5.6, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:20:53,DISTRACTION,25,"{""ear"": 0.305, ""mar"": 0.014, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -179.5, ""yaw"": -8.5, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:20:58,DISTRACTION,45,"{""ear"": 0.508, ""mar"": 0.012, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -177.3, ""yaw"": 2.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:01,DROWSINESS,70,"{""ear"": 0.137, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 170.8, ""yaw"": 13.2, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:21:03,DISTRACTION,70,"{""ear"": 0.145, ""mar"": 0.015, ""head_direction"": ""LOOKING UP"", ""pitch"": 170.0, ""yaw"": 13.6, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:21:08,DISTRACTION,25,"{""ear"": 0.32, ""mar"": 0.014, ""head_direction"": ""LOOKING UP"", ""pitch"": 167.9, ""yaw"": 12.4, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:21:13,NO_SEATBELT,20,"{""ear"": 0.484, ""mar"": 0.017, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -172.0, ""yaw"": 11.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:18,NO_SEATBELT,20,"{""ear"": 0.245, ""mar"": 0.031, ""head_direction"": ""LOOKING UP"", ""pitch"": 163.2, ""yaw"": 0.9, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:19,DISTRACTION,45,"{""ear"": 0.484, ""mar"": 0.01, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -170.0, ""yaw"": 4.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:23,NO_SEATBELT,20,"{""ear"": 0.0, ""mar"": 0.0, ""head_direction"": ""NO FACE"", ""pitch"": 0.0, ""yaw"": 0.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:26,DISTRACTION,45,"{""ear"": 0.639, ""mar"": 0.007, ""head_direction"": ""LOOKING LEFT"", ""pitch"": -179.8, ""yaw"": -40.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:28,NO_SEATBELT,20,"{""ear"": 0.67, ""mar"": 0.013, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": -158.7, ""yaw"": 46.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:31,DISTRACTION,45,"{""ear"": 0.199, ""mar"": 0.029, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -166.3, ""yaw"": 12.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:33,NO_SEATBELT,45,"{""ear"": 0.387, ""mar"": 0.018, ""head_direction"": ""LOOKING UP"", ""pitch"": 162.6, ""yaw"": 12.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:36,DISTRACTION,45,"{""ear"": 0.249, ""mar"": 0.021, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.5, ""yaw"": 9.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:41,DISTRACTION,45,"{""ear"": 0.168, ""mar"": 0.018, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 169.7, ""yaw"": 15.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:21:41,NO_SEATBELT,45,"{""ear"": 0.233, ""mar"": 0.029, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 168.2, ""yaw"": 17.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:25:11,DISTRACTION,25,"{""ear"": 0.355, ""mar"": 0.012, ""head_direction"": ""LOOKING LEFT"", ""pitch"": -170.5, ""yaw"": -19.6, ""phone"": false, ""seatbelt"": true}"
